source_id,country,indicator,source_name,url,publish_date,claim,raw_value,unit,source_tier
NGA-INF-01-01,NGA,INF-01,Nigerian Communications Commission (via AllAfrica),https://fr.allafrica.com/stories/202603160517.html,2026-03-16,Nigeria internet penetration reached 53% in January 2026 driven by telecom operator network expansion,53.0,%,1
NGA-INF-01-02,NGA,INF-01,DataReportal Digital 2026 Nigeria (Kepios/We Are Social/Meltwater),https://datareportal.com/reports/digital-2026-nigeria,2025-11-08,109 million internet users in Nigeria at end of 2025; internet penetration 45.5% of population,45.5,%,2
KEN-INF-01-01,KEN,INF-01,Communications Authority of Kenya + Kenya National Bureau of Statistics joint survey (via AllAfrica),https://allafrica.com/stories/202508120006.html,2025-08-11,National internet use stands at 35% of Kenyans aged 3+; ranges from 64.7% in Nairobi to 9.1% in West Pokot,35.0,%,1
KEN-INF-01-02,KEN,INF-01,DataReportal Digital 2026 Kenya (Kepios/We Are Social/Meltwater),https://datareportal.com/reports/digital-2026-kenya,2025-11-08,23.4 million internet users in Kenya at end of 2025; online penetration 40.5%,40.5,%,2
ZAF-INF-01-01,ZAF,INF-01,ICASA State of the ICT Sector Report of South Africa (using StatsSA GHS 2024 data),https://www.icasa.org.za/uploads/files/The-State-of-the-ICT-Sector-Report-of-South-Africa-31-March-2026.pdf,2026-03-31,National average internet usage sits at 75.6%; 82.1% have access to the internet in some form,75.6,%,1
NGA-INF-02-01,NGA,INF-02,Connecting Africa citing Alliance for Affordable Internet (A4AI) mobile broadband affordability data,https://www.connectingafrica.com/4g-networks/the-state-of-mobile-broadband-affordability-in-africa,2026-06-15,1GB of mobile data in Nigeria costs about 1.71% of average income,1.71,%,2
KEN-INF-02-01,KEN,INF-02,Connecting Africa citing Alliance for Affordable Internet (A4AI) mobile broadband affordability data,https://www.connectingafrica.com/4g-networks/the-state-of-mobile-broadband-affordability-in-africa,2026-06-15,Kenya falls outside the '1 for 2' affordability target; 1GB of data costs about 2.62% of average income,2.62,%,2
ZAF-INF-02-01,ZAF,INF-02,Connecting Africa citing Alliance for Affordable Internet (A4AI) mobile broadband affordability data,https://www.connectingafrica.com/4g-networks/the-state-of-mobile-broadband-affordability-in-africa,2026-06-15,1GB of mobile data in South Africa costs about 1.41% of average income,1.41,%,2
KEN-FIN-01-01,KEN,FIN-01,Communications Authority of Kenya Q3 FY2025/26 Sector Statistics Report (via Techweez),https://techweez.com/2026/04/07/kenya-mobile-money-98-percent-penetration/,2026-04-07,Mobile money subscription penetration reached 98% of population; CA notes this is supply-side registered-subscription data not a demand-side usage survey,98.0,%,1
NGA-FIN-02-01,NGA,FIN-02,Chainalysis 2025/2026 Global Crypto Adoption Index (via multiple secondary reports),https://www.cryptonewsnavigator.com/academy/article/2026-global-crypto-adoption-index-top-20-countries,2026-03-12,Nigeria ranks #2 globally on the Chainalysis Global Crypto Adoption Index (151 countries ranked),2.0,rank,2
KEN-FIN-02-01,KEN,FIN-02,Chainalysis 2026 Global Crypto Adoption Index coverage (via Crypto News Navigator),https://www.cryptonewsnavigator.com/academy/article/2026-global-crypto-adoption-index-top-20-countries,2026-03-12,Kenya makes a debut appearance in the global top 20 for the first time,20.0,rank(approx top-20),3
ZAF-FIN-02-01,ZAF,FIN-02,Chainalysis blog - Sub-Saharan Africa crypto adoption (2024/2025 index vintage),https://www.chainalysis.com/blog/subsaharan-africa-crypto-adoption-2024/,2025-09-12,South Africa ranked 30th globally on the prior Chainalysis Global Adoption Index,30.0,rank,2
NGA-GOV-01-01,NGA,GOV-01,Biometric Update citing National Identity Management Commission (NIMC) data,https://www.biometricupdate.com/202606/nigeria-looks-beyond-enrollment-as-digital-id-passes-130-million,2026-06-05,NIN enrollment passed 130 million against a restructured target of 180 million by Dec 31 2026 (est. population ~220 million),130.0,millions enrolled,1
ZAF-GOV-01-01,ZAF,GOV-01,SAnews (South African Government News Agency) citing Dept. of Home Affairs Deputy Minister Nzuza,https://www.sanews.gov.za/south-africa/home-affairs-records-highest-ever-smart-id-output,2026-05-15,Over 4 million Smart ID cards issued in 2025/26 FY; approx. 28 million Smart ID cards issued cumulatively as of 2026,28.0,millions issued,1
ZAF-GOV-01-02,ZAF,GOV-01,Joburg ETC citing Home Affairs Minister Schreiber,https://www.joburgetc.com/news/home-affairs-smart-id-access-up-250-rollout-expands/,2026-07-29,Home Affairs estimates about 16 million old green ID booklets still in circulation,16.0,millions still on legacy ID,1
NGA-ECO-02-01,NGA,ECO-02,Partech 2025 Africa Tech Venture Capital Report,https://partechpartners.com/africa-reports/2025-africa-tech-venture-capital-report,2026-01-22,Nigeria raised US$572 million total tech capital (equity + debt) in 2025,572.0,USD millions,2
NGA-ECO-02-02,NGA,ECO-02,Wikipedia infobox citing IMF World Economic Outlook,https://en.wikipedia.org/wiki/Economy_of_Nigeria,2025-01-01,Nigeria nominal GDP $285.003 billion (2025 IMF estimate),285003.0,USD millions,1
KEN-ECO-02-01,KEN,ECO-02,Partech 2025 Africa Tech Venture Capital Report,https://partechpartners.com/africa-reports/2025-africa-tech-venture-capital-report,2026-01-22,Kenya led the continent in total capital raised at US$1.04 billion in 2025 (+72% YoY),1040.0,USD millions,2
KEN-ECO-02-02,KEN,ECO-02,Wikipedia infobox citing IMF World Economic Outlook,https://en.wikipedia.org/wiki/Economy_of_Kenya,2026-01-01,Kenya nominal GDP $147.26 billion (2026 IMF estimate),147260.0,USD millions,1
ZAF-ECO-02-01,ZAF,ECO-02,Partech 2025 Africa Tech Venture Capital Report,https://partechpartners.com/africa-reports/2025-africa-tech-venture-capital-report,2026-01-22,South Africa raised US$715 million total tech capital (equity + debt) in 2025 (+21% YoY),715.0,USD millions,2
ZAF-ECO-02-02,ZAF,ECO-02,Worldometer citing IMF World Economic Outlook (April 2026),https://www.worldometers.info/gdp/south-africa-gdp/,2026-04-01,South Africa nominal GDP $479.96 billion (2026 IMF estimate),479960.0,USD millions,1
KEN-AI-01-01,KEN,AI-01,PwC / Strategy& Middle East and Africa Mid-Year Economic Outlook H2 2025 (via BusinessDay Nigeria),https://businessday.ng/companies/article/nigeria-ranks-18th-among-african-countries-in-ai-talent-readiness-pwc/,2025-08-25,Kenya scores 49.7 on the AI talent readiness index,49.7,index,2
ZAF-AI-01-01,ZAF,AI-01,PwC / Strategy& Middle East and Africa Mid-Year Economic Outlook H2 2025 (via BusinessDay Nigeria),https://businessday.ng/companies/article/nigeria-ranks-18th-among-african-countries-in-ai-talent-readiness-pwc/,2025-08-25,South Africa scores 52.1 on the AI talent readiness index — highest cited African score in this report,52.1,index,2
ZAF-AI-01-02,ZAF,AI-01,Ataraxis 2026 Global Outsourcing AI Readiness Index (via Channelwise/iAfrica),https://channelwise.co.za/sa-tops-africans-ai-charts/,2026-08-05,South Africa scores 66.5/100 on AI readiness (population adoption 78, workforce literacy 63, enterprise adoption 65, education pipeline 53) — ranks #8 globally #1 in Africa,66.5,index,3
NGA-AI-02-01,NGA,AI-02,BusinessDay Nigeria citing Strategy& H2 2025 report,https://businessday.ng/companies/article/nigeria-ranks-18th-among-african-countries-in-ai-talent-readiness-pwc/,2025-08-25,Nigeria accounts for ~19% of the >2400 organisations working on AI solutions across Africa — second only to South Africa,19.0,% of continental AI orgs,3
